Date,Open,High,Low,Close,Volume,Name,Score
2006-03-15,82.65,83.76,82.64,83.38,5370400,IBM,0.6928735383605342
2006-03-16,83.43,83.72,82.61,82.87,4299500,IBM,0.3196590547629172
2006-03-17,83.35,83.41,82.82,83.3,6414500,IBM,0.9006760957321932
2006-03-20,83.11,83.75,82.99,83.58,3870300,IBM,0.3657276741951885
2006-03-21,83.82,84.99,83.58,83.81,7404300,IBM,0.7638941949077462
2006-03-22,83.35,84.68,83.35,84.45,4968600,IBM,0.5582388226142873
2006-03-23,84.23,84.27,82.93,83.2,5105800,IBM,0.07617074016149739
2006-03-24,82.99,83.72,82.99,83.36,4198800,IBM,0.7947819699437988
2006-03-27,82.98,83.26,82.58,83.08,3910100,IBM,0.1830806001106693
2006-03-28,82.86,83.39,82.29,82.43,4508800,IBM,0.5358090694051512
2006-03-29,82.2,83.55,82.2,83.13,4633800,IBM,0.6996804205936246
2006-03-30,82.88,83.7,82.83,83.2,4467000,IBM,0.6148785744690666
2006-03-31,82.95,83.6,82.29,82.47,5862000,IBM,0.08470435519249275
2006-04-03,82.72,83.59,82.65,83.06,4121600,IBM,0.5839981618682878
2006-04-04,83.05,83.78,82.8,83.45,3856200,IBM,0.34276788056254204
2006-04-05,83.33,84.45,83.32,84.17,5523900,IBM,0.3089198922592964
2006-04-06,83.7,84.32,83.36,83.81,4944100,IBM,0.7780061517630481
2006-04-07,83.6,83.8,82.44,82.48,5338300,IBM,0.02758669848110562
2006-04-10,82.27,82.74,82.0,82.1,3631300,IBM,0.03167325767896145
2006-04-11,81.83,82.06,80.75,81.16,5959700,IBM,0.17089786857452105
2006-04-12,81.1,81.37,80.63,80.75,3905700,IBM,0.5945181883474077
2006-04-13,81.18,82.6,81.12,81.98,4799700,IBM,0.6712670170751037
2006-04-17,81.92,82.92,81.4,81.64,4634200,IBM,0.04296723777667477
2006-04-18,81.89,83.53,81.7,83.31,7919700,IBM,0.9374452215310168
2006-04-19,83.95,84.0,81.26,81.86,10555200,IBM,0.4872057842760321
2006-04-20,81.65,82.85,81.64,82.02,6237200,IBM,0.017744596333025497
2006-04-21,82.49,82.5,81.38,81.66,6117400,IBM,0.13675768200960492
2006-04-24,81.3,82.41,81.1,82.11,6604100,IBM,0.509388955986521
2006-04-25,81.95,82.9,81.6,82.67,6857400,IBM,0.755064357901449
2006-04-26,82.84,83.48,82.71,83.35,6649000,IBM,0.8359610252264661
2006-04-27,82.7,84.4,82.7,83.88,8174300,IBM,0.8083478078760881
2006-04-28,83.51,83.62,81.98,82.34,8201800,IBM,0.5133862023496056
2006-05-01,82.59,83.31,82.1,82.23,6011400,IBM,0.7742440775247162
2006-05-02,82.11,82.74,82.0,82.42,4337000,IBM,0.8124998669553761
2006-05-03,82.54,83.29,82.45,82.7,5721100,IBM,0.6087138518593928
2006-05-04,82.87,83.09,82.4,82.43,3966900,IBM,0.735561559125752
2006-05-05,82.95,83.34,82.7,83.28,4504700,IBM,0.9246099563155499
2006-05-08,82.6,83.22,82.3,82.89,3913300,IBM,0.08751274806212483
2006-05-09,82.49,83.29,82.4,83.23,4072800,IBM,0.24748943319324612
2006-05-10,82.9,83.33,82.6,82.9,3430700,IBM,0.5284673648742557
2006-05-11,82.65,83.09,82.45,82.46,5274500,IBM,0.5124632878273628
2006-05-12,82.47,83.69,82.3,82.39,5685700,IBM,0.42127015657115585
2006-05-15,81.8,83.15,81.8,82.89,5778500,IBM,0.005323656575261793
2006-05-16,83.0,83.25,82.07,82.16,4456300,IBM,0.8424590467613007
2006-05-17,81.75,82.21,81.02,81.27,5936400,IBM,0.4391800361920284
2006-05-18,80.5,81.35,80.03,80.66,5443600,IBM,0.4333644277614369
2006-05-19,80.86,81.0,79.51,80.28,7019100,IBM,0.8423223599253025
2006-05-22,79.83,80.34,79.4,80.02,6275900,IBM,0.2562417117289889
2006-05-23,80.25,81.3,79.64,79.83,5010300,IBM,0.38439096231402725
2006-05-24,79.35,80.04,79.06,79.78,7389600,IBM,0.6563685050306189
2006-05-25,79.89,80.18,79.65,80.14,3995200,IBM,0.12473913895926625
2006-05-26,80.16,80.86,79.7,80.75,3580800,IBM,0.5014634820537348
2006-05-30,80.35,80.96,80.15,80.16,5049100,IBM,0.14133078124995146
2006-05-31,80.15,80.83,79.61,79.9,6385200,IBM,0.4381800147098731
2006-06-01,79.89,80.87,79.81,80.69,4866500,IBM,0.07873817332660271
2006-06-02,80.5,80.56,79.15,79.52,7233300,IBM,0.09007506216665495
2006-06-05,79.1,80.04,79.01,79.06,5556000,IBM,0.6775994536021813
2006-06-06,79.06,79.9,78.5,79.76,7250900,IBM,0.25233635339443494
2006-06-07,79.78,80.74,79.12,79.15,7925300,IBM,0.46133059541174937
2006-06-08,78.55,79.58,76.75,77.03,13476600,IBM,0.062078470404321906
2006-06-09,77.24,78.1,77.05,77.63,6135400,IBM,0.24302886099708831
2006-06-12,77.63,78.09,77.01,77.02,4925000,IBM,0.7122546665568953
2006-06-13,77.14,77.93,76.82,76.93,7374200,IBM,0.2874718534353856
2006-06-14,76.93,77.85,76.93,77.71,6038600,IBM,0.3616061391318304
2006-06-15,77.85,78.78,76.95,78.56,6679800,IBM,0.5054796329872091
2006-06-16,78.44,78.53,77.57,77.95,8133500,IBM,0.9952707787076528
2006-06-19,77.9,78.3,77.34,77.67,5303100,IBM,0.0810385168609079
2006-06-20,77.84,78.3,77.25,77.99,6124500,IBM,0.16869411826334468
2006-06-21,77.99,78.56,77.98,78.3,5615900,IBM,0.2924505410627274
2006-06-22,78.16,78.37,77.0,77.19,5569100,IBM,0.8643612519527268
2006-06-23,77.15,77.84,76.94,77.1,4520600,IBM,0.802610107592239
2006-06-26,77.04,77.52,76.8,77.15,3448100,IBM,0.9391422148991482
2006-06-27,77.32,77.6,76.32,76.63,5597000,IBM,0.2317306651141432
2006-06-28,76.53,76.6,76.06,76.56,4392200,IBM,0.05828344793313511
2006-06-29,76.89,77.8,76.56,77.59,5449200,IBM,0.5476252789565815
2006-06-30,77.7,77.93,76.79,76.82,7918800,IBM,0.5407352875525473
2006-07-03,77.54,78.27,77.27,78.02,3177300,IBM,0.42987495891599425
2006-07-05,78.0,78.39,77.52,77.77,4048200,IBM,0.8834754532868299
2006-07-06,77.59,78.53,77.57,78.09,4333100,IBM,0.9668008185083274
2006-07-07,78.09,78.09,76.12,76.42,6642600,IBM,0.4903913142957266
2006-07-10,76.18,76.83,75.87,76.67,7154700,IBM,0.35118253340519434
2006-07-11,76.25,76.65,75.44,76.47,6086500,IBM,0.6520215987589489
2006-07-12,76.07,76.3,74.82,75.48,8372100,IBM,0.12728638599266895
2006-07-13,75.01,75.28,73.83,74.24,8754900,IBM,0.9490830387270602
2006-07-14,74.24,74.3,73.37,73.57,6957800,IBM,0.8526042292102649
2006-07-17,73.35,73.94,73.2,73.7,6823100,IBM,0.16687170436004295
2006-07-18,73.7,74.42,72.73,74.26,8730600,IBM,0.7739801510537119
2006-07-19,76.0,77.06,76.0,76.07,14536900,IBM,0.8454266103978324
2006-07-20,75.73,75.88,75.2,75.48,12216500,IBM,0.016838564367289255
2006-07-21,75.49,75.5,74.5,74.86,8372500,IBM,0.5070266289693792
2006-07-24,74.92,76.15,74.92,75.99,5611200,IBM,0.3856698902303375
2006-07-25,75.99,76.41,75.31,75.89,5580300,IBM,0.8554702902700484
2006-07-26,75.48,76.3,75.36,75.83,3870100,IBM,0.6187856584434304
2006-07-27,75.83,77.29,75.75,76.15,6439100,IBM,0.10379348986276127
2006-07-28,76.38,77.3,76.26,76.96,4165700,IBM,0.03395440348675949
2006-07-31,76.44,77.5,76.15,77.41,5393000,IBM,0.7756789478205781
2006-08-01,76.65,77.38,75.75,76.14,4406800,IBM,0.6175711236982158
2006-08-02,76.21,76.93,76.2,76.32,3283800,IBM,0.9893773227687431
2006-08-03,76.0,76.73,74.9,76.33,2765800,IBM,0.4426440200118531
2006-08-04,76.65,76.77,75.32,75.91,5062400,IBM,0.6103397422741839
2006-08-07,75.63,76.2,75.28,75.52,4034200,IBM,0.5841674081142941
2006-08-08,75.63,76.26,75.11,75.33,3794700,IBM,0.4218670124883417
2006-08-09,75.56,76.28,75.39,75.39,4480800,IBM,0.6406404314977253
2006-08-10,75.2,76.08,75.05,75.74,3213600,IBM,0.9503323617178897
2006-08-11,75.34,75.78,75.2,75.48,3696100,IBM,0.4513263909059949
2006-08-14,76.05,77.49,75.6,76.68,4997400,IBM,0.3185161268558935
2006-08-15,76.9,77.14,76.31,77.08,5985400,IBM,0.9376310952669366
2006-08-16,77.48,79.28,77.35,79.09,7387200,IBM,0.9159562465215603
2006-08-17,78.93,79.56,78.53,79.37,5602300,IBM,0.2286476362032649
2006-08-18,79.38,79.97,78.63,79.9,5399700,IBM,0.011503540815575808
2006-08-21,79.51,79.88,78.87,79.28,3676500,IBM,0.06489924835345695
2006-08-22,79.28,79.55,78.61,78.95,4057200,IBM,0.9084806942202882
2006-08-23,78.95,79.47,78.42,78.67,3428500,IBM,0.21527174106492464
2006-08-24,78.9,79.5,78.87,79.38,3473300,IBM,0.80607145861994
2006-08-25,79.2,80.0,79.14,79.88,3428100,IBM,0.5935564510989642
2006-08-28,79.91,80.47,79.76,80.32,5259400,IBM,0.9581193926209208
2006-08-29,80.06,81.48,80.06,81.4,5208500,IBM,0.527227194775668
